brand,model,year,mileage,engine,engine_size,transmission,automatic_transmission,fuel_type,drivetrain,min_mpg,max_mpg,damaged,first_owner,personal_using,turbo,alloy_wheels,adaptive_cruise_control,navigation_system,power_liftgate,backup_camera,keyless_start,remote_start,sunroof/moonroof,automatic_emergency_braking,stability_control,leather_seats,memory_seat,third_row_seating,apple_car_play/android_auto,bluetooth,usb_port,heated_seats,interior_color,exterior_color,price
Nissan,350Z Track,2003,117500,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,3.5,6-Speed M/T,0,Gasoline,Rear-wheel Drive,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Gray,White,12600
Ford,Expedition Max XLT,2021,49862,3.5L V6 24V PDI DOHC Twin Turbo,3.5,10-Speed Automatic,1,Gasoline,Four-wheel Drive,16,21,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,Black,Silver,45460
Maserati,GranTurismo MC Convertible,2019,6179,4.7L V8 32V MPFI DOHC,4.7,6-Speed Automatic,1,Gasoline,Rear-wheel Drive,16,24,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,Cuoio,Grigio Granito Metallic,ot Priced
Alfa,Romeo Stelvio Ti Lusso,2019,44416,2.0L I4 16V GDI SOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,22,28,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,Black,Verde,28999
Toyota,FJ Cruiser Base,2008,120292,"4L V-6 DOHC, variable valve control, engine with 239HP",4,Automatic,1,Gasoline,Four-wheel Drive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Dark Charcoal,,15000
Lexus,GX 460 Luxury,2023,6746,4.6L V8 32V MPFI DOHC,4.6,6-Speed Automatic with Sequential Shift,1,Gasoline,Four-wheel Drive,,,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,Rioja Red,Eminent White Pearl,66988
Jaguar,XF 3.0 Portfolio,2015,44998,3.0L V6 24V GDI DOHC Supercharged,3,8-Speed Automatic,1,Gasoline,Rear-wheel Drive,15,23,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,Charcoal,Lunar Grey,21995
Suzuki,Grand Vitara JLX,2001,149114,2.5L V6 24V MPFI DOHC,2.5,Manual,0,Gasoline,Four-wheel Drive,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Red,6995
Nissan,Armada SL,2021,63487,5.6L V8 32V GDI DOHC,5.6,7-Speed Automatic,1,Gasoline,Rear-wheel Drive,,,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,Charcoal,Brilliant Silver Metallic,36485
Cadillac,ATS 2.0L Turbo Luxury,2016,80361,"2L I-4 gasoline direct injection, DOHC, variable valve control,",2,Automatic,1,Gasoline,Four-wheel Drive,15,20,,,,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,Jet Black w/Jet Black Accents,Black Raven,16995
BMW,M760 i xDrive,2019,18555,6.6L V12 48V GDI DOHC Twin Turbo,6.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,13,20,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,Cognac,Carbon Black Metallic,71499
Volkswagen,Atlas Cross Sport 3.6L V6 SEL 4MOTION,2021,14953,3.6L V6 24V GDI DOHC,3.6,8-Speed Automatic,1,Gasoline,Four-wheel Drive,20,24,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,Titan Black,Pure Gray,38991
Mazda,CX-9 Touring,2019,105488,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,25,31,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,Black,Machine Gray Metallic,21424
Porsche,911 Carrera 4S,2020,15104,3.0L H6 24V GDI DOHC Twin Turbo,3,8-Speed Automatic with Auto-Shift,1,Gasoline,Four-wheel Drive,17,23,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,Black,Agate Gray Metallic,148998
Mazda,CX-9 Touring,2019,30177,2.5L I4 16V GDI DOHC Turbo,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,22,30,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,Sand,Deep Crystal Blue Mica,25991
Mazda,CX-9 Touring,2021,7733,2.5L,2.5,6-Speed Automatic,1,Gasoline,Four-wheel Drive,20,26,,,,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,Black,Deep Crystal Blue Mica,34998
Jaguar,F-PACE 25t Premium,2020,33173,2.0L I4 16V GDI DOHC Turbo,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,18,26,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,Ebony / Ebony,Fuji White,36989
Volvo,XC90 T6 Inscription 6 Passenger,2022,13161,2.0L I4 16V GDI DOHC,2,8-Speed Automatic,1,Gasoline,Four-wheel Drive,21,31,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,Gray,White,58490
BMW,M240 i xDrive,2022,6840,3.0L I6 24V GDI DOHC Turbo,3,8-Speed Automatic,1,Gasoline,Four-wheel Drive,23,32,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,Tacora Red,Gray Metallic,52984
Kia,Telluride SX-Prestige X-Pro,2023,13240,3.8L V6 24V GDI DOHC,3.8,8-Speed Automatic,1,Gasoline,Four-wheel Drive,19,26,0,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,Black,Midnight Black,59296
Volvo,C70 T5,2008,135000,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,2.5,5-Speed A/T,0,Gasoline,Front-wheel Drive,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,White,Red,5500
Porsche,911 Targa 4S,2019,4045,3.0L H6 24V GDI DOHC Twin Turbo,3,Automatic,1,Gasoline,Four-wheel Drive,20,29,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,Black,Carmine Red,148575
